aut,trial,propertyType,property
13,1,c0,0.5190894295617757
13,1,s0,0.7122585731178557
13,1,e1,1.0
13,1,c1,1.0
13,1,s1,0.8738667717776902
14,1,e0,1.0
14,1,c0,1.0
14,1,s0,1.0
14,1,e1,1.0
14,1,c1,1.0
14,1,s1,0.9921166732361056
15,1,e0,0.5405513383939273
15,1,c0,0.42714222153734327
15,1,s0,0.3378005518328735
15,1,e1,1.0
15,1,c1,1.0
15,1,s1,1.0
16,1,e0,1.0
16,1,c0,0.5804062500807265
16,1,s0,0.9842333464722113
16,1,e1,0.9680383539752297
16,1,c1,0.9555008114995851
16,1,s1,0.9329917225068979
17,1,e0,1.0
17,1,c0,1.0
17,1,s0,0.9842333464722113
17,1,e1,1.0
17,1,c1,1.0
17,1,s1,1.0
18,1,e0,1.0
18,1,c0,1.0
18,1,s0,0.9921166732361056
18,1,e1,0.9960047942469037
18,1,c1,1.0
18,1,s1,0.9960583366180528
19,1,e0,1.0
19,1,c0,1.0
19,1,s0,1.0
19,1,e1,1.0
19,1,c1,1.0
19,1,s1,1.0
20,1,e0,1.0
20,1,c0,1.0
20,1,s0,0.9960583366180528
20,1,e1,1.0
20,1,c1,1.0
20,1,s1,1.0
21,1,e0,0.9880143827407112
21,1,c0,1.0
21,1,s0,0.9645250295624753
21,1,e1,0.9680383539752297
21,1,c1,0.949658199012386
21,1,s1,0.9684666929444226
22,1,e0,0.7562924490611267
22,1,c0,0.8049578641308185
22,1,s0,0.4087504927079228
22,1,e1,1.0
22,1,c1,1.0
22,1,s1,1.0
23,1,e0,0.9360767079504595
23,1,c0,0.9320895006623761
23,1,s0,0.913283405597162
23,1,e1,1.0
23,1,c1,1.0
23,1,s1,1.0
24,1,e0,1.0
24,1,c0,1.0
24,1,s0,1.0
24,1,e1,1.0
24,1,c1,1.0
24,1,s1,1.0
25,1,e0,1.0
25,1,c0,1.0
25,1,s0,1.0
25,1,e1,1.0
25,1,c1,1.0
25,1,s1,1.0
26,1,e0,1.0
26,1,c0,1.0
26,1,s0,1.0
26,1,e1,1.0
26,1,c1,1.0
26,1,s1,1.0
27,1,e0,0.9960047942469037
27,1,c0,1.0
27,1,s0,0.8975167520693733
27,1,e1,1.0
27,1,c1,1.0
27,1,s1,1.0
28,1,e0,1.0
28,1,c0,1.0
28,1,s0,1.0
28,1,e1,1.0
28,1,c1,1.0
28,1,s1,1.0
29,1,e0,1.0
29,1,c0,1.0
29,1,s0,1.0
29,1,e1,1.0
29,1,c1,1.0
29,1,s1,1.0
30,1,e0,1.0
30,1,c0,1.0
30,1,s0,1.0
30,1,e1,1.0
30,1,c1,1.0
30,1,s1,1.0
31,1,e0,1.0
31,1,c0,1.0
31,1,s0,1.0
31,1,e1,1.0
31,1,c1,1.0
31,1,s1,1.0
1,2,e0,0.36076707950459447
1,2,c0,0.23645095917933642
1,2,s0,0.23531730390224678
1,2,e1,0.39672393128246103
1,2,c1,0.14019303885719117
1,2,s1,0.17619235317303905
2,2,e0,0.3727526967638833
2,2,c0,0.027515709637686108
2,2,s0,0.1407173827355144
2,2,e1,0.3367958449860168
2,2,c1,0.13019225453877054
2,2,s1,0.1840756799369334
3,2,e0,0.3487814622453056
3,2,c0,0.10899094781831481
3,2,s0,0.12100906582577849
3,2,e1,0.424690371554135
3,2,c1,0.27791116720788955
3,2,s1,0.14860070949940876
4,2,e0,0.4286855773072313
4,2,c0,0.3253402611677462
4,2,s0,0.24320063066614114
4,2,e1,0.4606472233320016
4,2,c1,0.20539631947224896
4,2,s1,0.2037839968466693
5,2,e0,0.4286855773072313
5,2,c0,0.13483066946223782
5,2,s0,0.12889239258967286
5,2,e1,0.48062325209748297
5,2,c1,0.41380145368449767
5,2,s1,0.18013401655498623
6,2,e0,0.6004794246903715
6,2,c0,0.5158356808632928
6,2,s0,0.3220338983050848
6,2,e1,1.0
6,2,c1,1.0
6,2,s1,0.9960583366180528
7,2,e0,0.832201358369956
7,2,c0,0.927063170728001
7,2,s0,0.5821836815135987
7,2,e1,0.9760287654814223
7,2,c1,0.9728314197540282
7,2,s1,0.9290500591249508
8,2,e0,0.5884938074310827
8,2,c0,0.7459453707313553
8,2,s0,0.3535672053606622
8,2,e1,0.9840191769876149
8,2,c1,0.970056369505565
8,2,s1,0.956641702798581
9,2,e0,0.6124650419496604
9,2,c0,0.5137626113884681
9,2,s0,0.25502562081198266
9,2,e1,0.9840191769876149
9,2,c1,0.9826693917455568
9,2,s1,0.9842333464722113
10,2,e0,0.9121054734318818
10,2,c0,1.0
10,2,s0,0.9172250689791092
10,2,e1,0.9480623252097483
10,2,c1,0.9292643099282154
10,2,s1,0.9054000788332677
11,2,e0,1.0
11,2,c0,1.0
11,2,s0,0.9093417422152148
11,2,e1,0.9920095884938074
11,2,c1,0.9901620280084714
11,2,s1,0.9684666929444226
12,2,e0,0.8801438274071115
12,2,c0,0.9256674796217199
12,2,s0,0.8659834450137958
12,2,e1,0.9960047942469037
12,2,c1,1.0
12,2,s1,0.9960583366180528
13,2,e0,1.0
13,2,c0,1.0
13,2,s0,1.0
13,2,e1,0.9880143827407112
13,2,c1,0.9728314197540282
13,2,s1,0.9724083563263697
14,2,e0,1.0
14,2,c0,1.0
14,2,s0,1.0
14,2,e1,1.0
14,2,c1,1.0
14,2,s1,1.0
15,2,e0,0.9161006791849781
15,2,c0,0.9292643099282154
15,2,s0,0.8659834450137958
15,2,e1,1.0
15,2,c1,1.0
15,2,s1,1.0
16,2,e0,1.0
16,2,c0,1.0
16,2,s0,0.9448167126527395
16,2,e1,1.0
16,2,c1,1.0
16,2,s1,1.0
17,2,e0,0.9960047942469037
17,2,c0,0.9901620280084714
17,2,s0,0.9960583366180528
17,2,e1,0.9960047942469037
17,2,c1,0.9901620280084714
17,2,s1,0.9960583366180528
18,2,e0,1.0
18,2,c0,1.0
18,2,s0,1.0
18,2,e1,1.0
18,2,c1,1.0
18,2,s1,1.0
19,2,e0,1.0
19,2,c0,1.0
19,2,s0,1.0
19,2,e1,0.9600479424690371
19,2,c1,0.9826693917455568
19,2,s1,0.9605833661805282
20,2,e0,1.0
20,2,c0,1.0
20,2,s0,1.0
20,2,e1,1.0
20,2,c1,1.0
20,2,s1,0.9960583366180528
21,2,e0,1.0
21,2,c0,1.0
21,2,s0,1.0
21,2,e1,1.0
21,2,c1,1.0
21,2,s1,1.0
22,2,e0,0.9920095884938074
22,2,c0,0.6124121766100477
22,2,s0,0.8659834450137958
22,2,e1,1.0
22,2,c1,1.0
22,2,s1,1.0
23,2,e0,1.0
23,2,c0,1.0
23,2,s0,1.0
23,2,e1,0.9920095884938074
23,2,c1,0.9901620280084714
23,2,s1,0.9921166732361056
24,2,e0,1.0
24,2,c0,1.0
24,2,s0,1.0
24,2,e1,1.0
24,2,c1,1.0
24,2,s1,1.0
25,2,e0,1.0
25,2,c0,1.0
25,2,s0,1.0
25,2,e1,1.0
25,2,c1,1.0
25,2,s1,1.0
26,2,e0,1.0
26,2,c0,1.0
26,2,s0,0.9645250295624753
26,2,e1,1.0
26,2,c1,1.0
26,2,s1,1.0
27,2,e0,1.0
27,2,c0,1.0
27,2,s0,0.9684666929444226
27,2,e1,1.0
27,2,c1,1.0
27,2,s1,1.0
28,2,e0,1.0
28,2,c0,1.0
28,2,s0,1.0
28,2,e1,1.0
28,2,c1,1.0
28,2,s1,1.0
29,2,e0,0.9640431482221334
29,2,c0,0.9760703394180555
29,2,s0,0.7516752069373276
29,2,e1,1.0
29,2,c1,1.0
29,2,s1,1.0
30,2,e0,1.0
30,2,c0,1.0
30,2,s0,1.0
30,2,e1,1.0
30,2,c1,1.0
30,2,s1,1.0
31,2,e0,1.0
